A	filename	PSG filename
B	id1	subject identification
C	cyc_def_option	"Method used to split the sleep period in sleep cycles, it defines the criteria. I.e. : 'Minimum criteria'  'Aeschbach 1993'  'Feinberg 1979'"
D	cyc_def_include_soremp	Include a REM sleep periods (REMP) that occur within 15 minutes of sleep onset.
E	cyc_def_include_last_incomplete	Include the last sleep cycle even if the NREM period (NREMP) or REMP does not meet the minimum duration criteria.
F	cyc_def_rem_min	Minimum length without R stage to end the REMP.
G	cyc_def_first_nrem_min	Minimum length of the first NREMP in minutes.
H	cyc_def_mid_last_nrem_min	Minimum length of the middle and last NREMP in minutes.
I	cyc_def_last_nrem_valid_min	Minimum length of the NREMP in minutes to validate the last sleep cycle.
J	cyc_def_first_rem_min	Minimum length of the first REMP in minutes.
K	cyc_def_mid_rem_min	Minimum length of the middle REMP in minutes.
L	cyc_def_last_rem_min	Minimum length of the last REMP in minutes.
M	cyc_def_move_end_rem	"Move the end of the REMP to the start of the following NREMP, eliminating the temporal 'gap' between 2 cycles."
N	cyc_def_sleep_stages	"List of valid stages used to define the sleep cycles:  'N1, N2, N3, R' or 'N2, N3, R'"
O	artefact_group_name_list	List of groups and names of the artefact excluded from the Power Spectral Analysis
P	channel_label	The label of the channel.
Q	channel_fs	The sampling rate (Hz) of the channel.
R	channel_artefact_count	The number of artefacts marked on the channel (i.e. number of events).
S	fft_win_sec	The window length in sec used to perform the FFT.
T	fft_step_sec	The step in sec between each start point of the window used for the FFT.
U	freq_low_Hz	The low frequency (Hz) of the mini band.
V	freq_high_Hz	The high frequency (Hz) of the mini band.
W	total_W_fft_win_count	Total - The number of fft windows in awake.
X	total_W_fft_win_valid_count	Total - The number of valid fft windows in awake.
Y	total_N1_fft_win_count	Total - The number of fft windows in N1.
Z	total_N1_fft_win_valid_count	Total - The number of valid fft windows in N1.
AA	total_N2_fft_win_count	Total - The number of fft windows in N2.
AB	total_N2_fft_win_valid_count	Total - The number of valid fft windows in N2.
AC	total_N3_fft_win_count	Total - The number of fft windows in N3.
AD	total_N3_fft_win_valid_count	Total - The number of valid fft windows in N3.
AE	total_N2N3_fft_win_count	Total - The number of fft windows in N2 and N3.
AF	total_N2N3_fft_win_valid_count	Total - The number of valid fft windows in N2 and N3.
AG	total_NREM_fft_win_count	Total - The number of fft windows in NREM (N1, N2 and N3).
AH	total_NREM_fft_win_valid_count	Total - The number of valid fft windows in NREM (N1, N2 and N3).
AI	total_R_fft_win_count	Total - The number of fft windows in R.
AJ	total_R_fft_win_valid_count	Total - The number of valid fft windows in R.
AK	total_Unscored_fft_win_count	Total - The number of fft windows unscored.
AL	total_Unscored_fft_win_valid_count	Total - The number of valid fft windows unscored.
AM	total_fft_win_count	Total - The total number of fft windows.
AN	total_fft_win_valid_count	Total - The total number of valid fft windows.
AO	total_act	Total - The total spectral power (uV^2)
AP	total_W_act	Total - The total spectral power (uV^2) in awake.
AQ	total_N1_act	Total - The total spectral power (uV^2) in N1.
AR	total_N2_act	Total - The total spectral power (uV^2) in N2.
AS	total_N3_act	Total - The total spectral power (uV^2) in N3.
AT	total_N2N3_act	Total - The total spectral power (uV^2) in N2 and N3.
AU	total_NREM_act	Total - The total spectral power (uV^2) in NREM.
AV	total_R_act	Total - The total spectral power (uV^2) in rem.
AW	total_Unscored_act	Total - The total spectral power (uV^2) unscored.
AX	clock_h1_W_fft_win_count	Real Clock Hour 1 - The number of FFT windows in Wake during the first real clock hour.
AY	clock_h1_W_fft_win_valid_count	Real Clock Hour 1 - The number of valid FFT windows in Wake during the first real clock hour.
AZ	clock_h1_N1_fft_win_count	Real Clock Hour 1 - The number of FFT windows in N1 during the first real clock hour.
BA	clock_h1_N1_fft_win_valid_count	Real Clock Hour 1 - The number of valid FFT windows in N1 during the first real clock hour.
BB	clock_h1_N2_fft_win_count	Real Clock Hour 1 - The number of FFT windows in N2 during the first real clock hour.
BC	clock_h1_N2_fft_win_valid_count	Real Clock Hour 1 - The number of valid FFT windows in N2 during the first real clock hour.
BD	clock_h1_N3_fft_win_count	Real Clock Hour 1 - The number of FFT windows in N3 during the first real clock hour.
BE	clock_h1_N3_fft_win_valid_count	Real Clock Hour 1 - The number of valid FFT windows in N3 during the first real clock hour.
BF	clock_h1_N2N3_fft_win_count	Real Clock Hour 1 - The number of FFT windows in N2 and N3 during the first real clock hour.
