A	filename	The name of the file analysed in this report.
B	id1	First ID
C	id2	Second ID
D	first_name	First name
E	last_name	Last name
F	sex	The sex (M, F, X)
G	birthdate	The birthdate of the subject, yyyy-mm-dd
H	creation_date	The creation date of the analysed file, yyyy-mm-dd
I	age	The age of the subject (Integer value)
J	height	The height of the subject in meters or inches.
K	weight	The weight of the subject in kg or lbs
L	bmi	Body Mass Index (kg/m²)
M	waistline	Waist size meters or inches.
N	height_unit	"Unit used for the height. Possible values are: ""meters/feets"""
O	weight_unit	"Unit used for the weight. Possible values are: ""kg/lbs"""
P	waistline_unit	"Unit used for the waistline. Possible values are: ""cm/inches"""
Q	cyc_def_option	"Method used to split the sleep period in sleep cycles. The values are defined in the following ""cyc_def..."" parameters.  Possible values are:  ""Minimum criteria""  ""Aeschbach 1993""  ""Feinberg 1979""  ""Mice"""
R	cyc_def_include_soremp	Include a REM sleep periods (REMP) that occur within 15 minutes of sleep onset.
S	cyc_def_include_last_incomplete	Include the last sleep cycle even if the NREM period (NREMP) or REMP does not meet the minimum duration criteria.
T	cyc_def_rem_min	Minimum duration without R stage to end the REM period.
U	cyc_def_first_nrem_min	Minimum duration of the first NREMP in minutes.
V	cyc_def_mid_last_nrem_min	Minimum duration of the middle and last NREMP in minutes.
W	cyc_def_last_nrem_valid_min	Minimum duration of the NREMP in minutes to validate the last sleep cycle.
X	cyc_def_first_rem_min	Minimum duration of the first REM period in minutes.
Y	cyc_def_mid_rem_min	Minimum duration of the middle REM period in minutes
Z	cyc_def_last_rem_min	Minimum duration of the last REM period in minutes
AA	cyc_def_move_end_rem	"Move the end of the REM period to the start of the following NREM period, eliminating the temporal ""gap"" between 2 cycles."
AB	cyc_def_sleep_stages	"List of valid stages used to define the sleep cycles:  ""N1, N2, N3, R"" or ""N2, N3, R"""
AC	epoch_sec	Duration of an epoch in seconds, usually 30 seconds.
AD	first_epoch_time_win	The timestamp of the first epoch.
AE	last_epoch_time_win	The timestamp of the last epoch.
AF	record_min	Duration of the whole record in minutes.
AG	sleep_latency_used_in_this_report_min	The sleep latency value used to compute all statistics in the report.
AH	sleep_latency_aasm_min	The sleep latency based on the valid sleep stages from the AASM (1,2,3,REM)
AI	sleep_latency_aeschbach_min	The sleep latency based on the valid sleep stages from Aeschbach rules: (2,3,REM)
AJ	sleep_latency_floyd_min	The sleep latency based on the valid sleep stages from Feinberg rules: (2,3,REM)
AK	persistant_sleep_latency_min	Persistant sleep is defined as 10 minutes of continious sleep stages. The latency is the time it takes from the beginning of the hypnogram (assumed to be the lights off) to the beginning of the 10 minutes period.
AL	sleep_latency_N1_min	Latencies for stage N1 and N2 are base on the beginning of the of the hypnogram (scored_stages).
AM	sleep_latency_N2_min	Latencies for stage N1 and N2 are base on the beginning of the of the hypnogram (scored_stages).
AN	sleep_latency_N3_min	Latency of the stage N3 is based on the sleep latency.
AO	sleep_latency_R_min	Latency of the stage REM is based on the sleep latency.
AP	total_W_count	Number of epoch in wake during the sleep period.
AQ	wake_1min_count	Number of period of 1 minute of wake during the sleep period.
AR	wake_2min_count	Number of period of 2 minutes of wake during the sleep period.
AS	wake_3min_count	Number of period of 3 minutes of wake during the sleep period.
AT	wake_4min_count	Number of period of 4 minutes of wake during the sleep period.
AU	wake_5min_count	Number of period of 5 minutes of wake during the sleep period.
AV	total_W_min	Total time spent in wake during the first half of the sleep period in minutes.
AW	total_sleep_min	Total time spent in a sleep stage (N1,N2,N3,R) during the second half of the sleep period in minutes.
AX	last_wake_min	Duration of the last wake period of the sleep period in minutes.
AY	sleep_efficiency_percent	Defined as the time spend in a sleep stage over the duration of the sleep period.
AZ	sleep_period_min	Duration of the sleep period defined as the time between the sleep onset and the last sleep stage (N1,N2,N3,R) in minutes.
BA	Unscored_min	Time spent in an unscored stage during the sleep period in minutes.
BB	third1_W_min	Time spent in wake during the first third of the sleep period in minutes.
BC	third1_N1_min	Time spent in N1 during the first third of the sleep period in minutes.
BD	third1_N2_min	Time spent in N2 during the first third of the sleep period in minutes.
BE	third1_N3_min	Time spent in N3 during the first third of the sleep period in minutes.
BF	third1_R_min	Time spent in REM stage during the first third of the sleep period in minutes.
BG	third1_Unscored_min	Time spent in Unscored stage during the first third of the sleep period in minutes.
BH	third1_N1N2N3_min	Time spent in NREM stages during the first third of the sleep period in minutes.
BI	third1_sleep_min	Time spent in a sleep stage (N1,N2,N3,R) during the first third of the sleep period in minutes.
BJ	third2_W_min	Time spent in wake during the first third of the sleep period in minutes.
BK	third2_N1_min	Time spent in N1 during the second third of the sleep period in minutes.
BL	third2_N2_min	Time spent in N2 during the second third of the sleep period in minutes.
BM	third2_N3_min	Time spent in N3 during the second third of the sleep period in minutes.
BN	third2_R_min	Time spent in REM stage during the second third of the sleep period in minutes.
BO	third2_Unscored_min	Time spent in Unscored stage during the second third of the sleep period in minutes.
BP	third2_N1N2N3_min	Time spent in NREM stages during the second third of the sleep period in minutes.
BQ	third2_sleep_min	Time spent in a sleep stage (N1,N2,N3,R) during the second third of the sleep period in minutes.
BR	third3_W_min	Time spent in wake during the first third of the sleep period in minutes.
BS	third3_N1_min	Time spent in N1 during the second third of the sleep period in minutes.
BT	third3_N2_min	Time spent in N2 during the second third of the sleep period in minutes.
BU	third3_N3_min	Time spent in N3 during the second third of the sleep period in minutes.
BV	third3_R_min	Time spent in REM stage during the second third of the sleep period in minutes.
BW	third3_Unscored_min	Time spent in Unscored stage during the second third of the sleep period in minutes.
BX	third3_N1N2N3_min	Time spent in NREM stages during the second third of the sleep period in minutes.
BY	third3_sleep_min	Time spent in a sleep stage (N1,N2,N3,R) during the second third of the sleep period in minutes.
BZ	half1_W_min	Time spent in wake during the first half of the sleep period in minutes.
CA	half1_N1_min	Time spent in N1 during the second half of the sleep period in minutes.
CB	half1_N2_min	Time spent in N2 during the second half of the sleep period in minutes.
CC	half1_N3_min	Time spent in N3 during the second half of the sleep period in minutes.
CD	half1_R_min	Time spent in REM stage during the second half of the sleep period in minutes.
CE	half1_Unscored_min	Time spent in Unscored stage during the second half of the sleep period in minutes.
CF	half1_N1N2N3_min	Time spent in NREM stages during the second half of the sleep period in minutes.
CG	half1_sleep_min	Time spent in a sleep stage (N1,N2,N3,R) during the second half of the sleep period in minutes.
CH	half2_W_min	Time spent in wake during the first half of the sleep period in minutes.
CI	half2_N1_min	Time spent in N1 during the second half of the sleep period in minutes.
CJ	half2_N2_min	Time spent in N2 during the second half of the sleep period in minutes.
CK	half2_N3_min	Time spent in N3 during the second half of the sleep period in minutes.
CL	half2_R_min	Time spent in REM stage during the second half of the sleep period in minutes.
CM	half2_Unscored_min	Time spent in Unscored stage during the second half of the sleep period in minutes.
CN	half2_N1N2N3_min	Time spent in NREM stages during the second half of the sleep period in minutes.
CO	half2_sleep_min	Time spent in a sleep stage (N1,N2,N3,R) during the second half of the sleep period in minutes.
CP	total_N1_min	Total time spent in N1 during the second half of the sleep period in minutes.
CQ	total_N2_min	Total time spent in N2 during the second half of the sleep period in minutes.
CR	total_N3_min	Total time spent in N3 during the second half of the sleep period in minutes.
CS	total_R_min	Total time spent in REM stage during the second half of the sleep period in minutes.
CT	total_Unscored_min	Total time spent in Unscored stage during the second half of the sleep period in minutes.
CU	total_N1N2N3_min	Total time spent in NREM stages during the second half of the sleep period in minutes.
CV	third1_W_percent	The percentage of the total Wake stage spent during the first third of the sleep period.
CW	third1_N1_percent	The percentage of the total N1 stage spent during the first third of the sleep period.
CX	third1_N2_percent	The percentage of the total N2 stage spent during the first third of the sleep period.
CY	third1_N3_percent	The percentage of the total N3 stage spent during the first third of the sleep period.
CZ	third1_R_percent	The percentage of the total R stage spent during the first third of the sleep period.
DA	third1_Unscored_percent	The percentage of the total Unscored stage spent during the first third of the sleep period.
