name	description
filename	PSG filename
group	Subject Group
sex	Subject Sex
birthdate	The birthdate of the subject, yyyy-mm-dd
creation_date	The creation date of the analysed file, yyyy-mm-dd
age	Subject age at the recording date
height	Subject height
weight	Subject weight
bmi	Subject BMI
waistline	Subject Waistlist size
event_class	The class of the events for the report
event_group	The group of the events for the report
event_name	The name of the events for the report
crit_evt_section	Report Event Criteria : event selection (Sleep only, recording time, Awake in sleep period, Before sleep onset)
crit_evt_min_sec	Report Event Criteria : minimum event duration (s). i.e. 0.5
crit_evt_max_sec	Report Event Criteria : maximum event duration (s). i.e. 10
crit_evt_min_interval_sec	Report Event Criteria : minimum interval (s) to create a series. i.e. 5
crit_evt_max_interval_sec	Report Event Criteria :  maximum interval (s) to create a series. i.e. 90
crit_evt_min_count_series	Report Event Criteria : minimum number of events into a series. i.e. 4
crit_excl_min_interval_resp_sec	Report Event Criteria : exclude event that starts during the minimum interval (s) with a respiratory event end. i.e. -3.5
crit_excl_max_interval_resp_sec	Report Event Criteria : exclude event that starts during the maximum interval (s) with a respiratory event end. i.e. 8
crit_end_period_delay_min	Report Event Criteria : Delay (min) without events to end a period. i.e. 15
evt_asso_to_resp_count	Results :  Number of events associated with respiratory events.
evt_excl_count	Results : Number of events excluded after criteria application.
periods_delay_count	Results : number of periods based on the end_period_delay criteria.
evt_sleep_first_wake_count	Results : number of events in sleep or in the first awake epoch (preceding epoch must be sleep).
evt_sleep_first_wake_index	Results : event index (number of events/hour) in sleep or first awake epoch (evt_sleep_first_wake_count/hours of sleep stage).
evt_asso_arousal_count	Results : number of events associated with an arousal i.e. The event occurs in sleep but the next epoch is awake or the event occurs in awake but the preceding epoch is sleep.
asleep_percent	Results: '%' of time slept occupied by the event
record_percent	Results: '%' of recording (from sleep onset to last asleep stage) occupied by the event
third1_evt_count	third 1 : number of events
third1_evt_avg_sec	third 1 : average duration of the events (s)
third1_evt_interval_count	third 1 : number of intervals
third1_evt_interval_avg_sec	third 1 : average interval (s)
third1_evt_index	third 1 : number of events per hour in asleep stage
third2_evt_count	third 2 : number of events
third2_evt_avg_sec	third 2 : average duration of the events (s)
third2_evt_interval_count	third 2 : number of intervals
third2_evt_interval_avg_sec	third 2 : average interval (s)
third2_evt_index	third 2 : number of events per hour in asleep stage
third3_evt_count	third 3 : number of events
third3_evt_avg_sec	third 3 : average duration of the events (s)
third3_evt_interval_count	third 3 : number of intervals
third3_evt_interval_avg_sec	third 3 : average interval (s)
third3_evt_index	third 3 : number of events per hour in asleep stage
half1_evt_count	half 1 : number of events
half1_evt_avg_sec	half 1 : average duration of the events (s)
half1_evt_interval_count	half 1 : number of intervals
half1_evt_interval_avg_sec	half 1 : average interval (s)
half1_evt_index	half 1 : number of events per hour in asleep stage
half2_evt_count	half 2 : number of events
half2_evt_avg_sec	half 2 : average duration of the events (s)
half2_evt_interval_count	half 2 : number of intervals
half2_evt_interval_avg_sec	half 2 : average interval (s)
half2_evt_index	half 2 : number of events per hour in asleep stage
total_evt_count	Total : number of events
total_evt_avg_sec	Total : average duration of the events (s)
total_evt_interval_count	Total : number of intervals
total_evt_interval_avg_sec	Total : average interval (s)
total_evt_index	Total : number of events per hour in asleep stage
W_evt_count	W : number of events
W_evt_avg_sec	W : average duration of the events (s)
W_evt_interval_count	W : number of intervals
W_evt_interval_avg_sec	W : average interval (s)
W_evt_index	W : number of events per hour (epochs from stage['0'])
N1_evt_count	N1 : number of events
N1_evt_avg_sec	N1 : average duration of the events (s)
N1_evt_interval_count	N1 : number of intervals
