A	filename	PSG filename
B	id1	subject identification
C	cyc_def_option	"Method used to split the sleep period in sleep cycles, it defines the criteria. I.e. : ""Minimum criteria""  ""Aeschbach 1993""  ""Feinberg 1979"""
D	cyc_def_include_soremp	Include a REM sleep periods (REMP) that occur within 15 minutes of sleep onset.
E	cyc_def_include_last_incomplete	Include the last sleep cycle even if the NREM period (NREMP) or REMP does not meet the minimum duration criteria.
F	cyc_def_rem_min	Minimum length without R stage to end the REMP.
G	cyc_def_first_nrem_min	Minimum length of the first NREMP in minutes.
H	cyc_def_mid_last_nrem_min	Minimum length of the middle and last NREMP in minutes.
I	cyc_def_last_nrem_valid_min	Minimum length of the NREMP in minutes to validate the last sleep cycle.
J	cyc_def_first_rem_min	Minimum length of the first REMP in minutes.
K	cyc_def_mid_rem_min	Minimum length of the middle REMP in minutes.
L	cyc_def_last_rem_min	Minimum length of the last REMP in minutes.
M	cyc_def_move_end_rem	"Move the end of the REMP to the start of the following NREMP, eliminating the temporal ""gap"" between 2 cycles."
N	cyc_def_sleep_stages	"List of valid stages used to define the sleep cycles:  ""N1, N2, N3, R"" or ""N2, N3, R"""
O	stage_sel	Sleep stages selection to detect slow waves in.
P	detect_excl_remp	Flag to exclude rem period from the slow wave detection.
Q	sw_event_name	Slow wave event name (specific to the detection algorithm).
R	filt_low_Hz	Low frequency of the bandpass filter (Hz).
S	filt_high_Hz	High frequency of the bandpass filter (Hz).
T	min_amp_pkpk_uV	Minimum peak-to-peak amplitude (uV).
U	min_neg_amp_uV	Minimum negative amplitude (uV).
V	min_neg_ms	Minimum duration of negative part of the slow wave (ms).
W	max_neg_ms	Maximum duration of negative part of the slow wave (ms).
X	min_pos_ms	Minimum duration of positive part of the slow wave (ms).
Y	max_pos_ms	Maximum duration of positive part of the slow wave (ms).
Z	artefact_group_name	List of groups and names of the artifact excluded from the detection
AA	chan_label	The label of the channel.
AB	chan_fs	The sampling rate (Hz) of the channel.
AC	cyc_count	Number of sleep cycles.
AD	recording_min	Recording duration (min) from lights off to lights on.
AE	sleep_period_min	Total period for detection - Duration (min) of the sleep period.
AF	total_N1_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep period in N1 stage minus the REM periods if excluded.
AG	total_N2_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep period in N2 stage minus the REM periods if excluded.
AH	total_N3_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep period in N3 stage minus the REM periods if excluded.
AI	total_R_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep period in REM stage.
AJ	total_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep stage selected minus thoses included in REM periods if remps are excluded.
AK	total_N1_sw_count	Total - SW count in N1 stage.
AL	total_N2_sw_count	Total - SW count in N2 stage.
AM	total_N3_sw_count	Total - SW count in N3 stage.
AN	total_R_sw_count	Total - SW count in REM stage.
AO	total_sw_count	Total - SW count in all stages.
AP	total_N1_sw_sec	Total - Average slow wave duration (s) in N1 stage.
AQ	total_N2_sw_sec	Total - Average slow wave duration (s) in N2 stage.
AR	total_N3_sw_sec	Total - Average slow wave duration (s) in N3 stage.
AS	total_R_sw_sec	Total - Average slow wave duration (s) in REM stage.
AT	total_sw_sec	Total - Average slow wave duration (s)
AU	total_N1_pkpk_amp_uV	Total - Average slow wave peak-to-peak amplitude (uV) in N1 stage.
AV	total_N2_pkpk_amp_uV	Total - Average slow wave peak-to-peak amplitude (uV) in N2 stage.
AW	total_N3_pkpk_amp_uV	Total - Average slow wave peak-to-peak amplitude (uV) in N3 stage.
AX	total_R_pkpk_amp_uV	Total - Average slow wave peak-to-peak amplitude (uV) in REM stage.
AY	total_pkpk_amp_uV	Total - Average slow wave peak-to-peak amplitude (uV)
AZ	total_N1_freq_Hz	Total - Slow wave frequency (Hz) (inverse of the duration) in N1 stage.
BA	total_N2_freq_Hz	Total - Slow wave frequency (Hz) (inverse of the duration) in N2 stage.
BB	total_N3_freq_Hz	Total - Slow wave frequency (Hz) (inverse of the duration) in N3 stage.
BC	total_R_freq_Hz	Total - Slow wave frequency (Hz) (inverse of the duration) in REM stage.
BD	total_freq_Hz	Total - Slow wave frequency (Hz) (inverse of the duration).
BE	total_N1_neg_amp_uV	Total - Average slow wave negative peak amplitude (uV) in N1 stage.
