A	filename	PSG filename
B	id1	subject identification
C	cyc_def_option	"Method used to split the sleep period in sleep cycles, it defines the criteria. I.e. : ""Minimum criteria""  ""Aeschbach 1993""  ""Feinberg 1979"""
D	cyc_def_include_soremp	Include a REM sleep periods (REMP) that occur within 15 minutes of sleep onset.
E	cyc_def_include_last_incomplete	Include the last sleep cycle even if the NREM period (NREMP) or REMP does not meet the minimum duration criteria.
F	cyc_def_rem_min	Minimum length without R stage to end the REMP.
G	cyc_def_first_nrem_min	Minimum length of the first NREMP in minutes.
H	cyc_def_mid_last_nrem_min	Minimum length of the middle and last NREMP in minutes.
I	cyc_def_last_nrem_valid_min	Minimum length of the NREMP in minutes to validate the last sleep cycle.
J	cyc_def_first_rem_min	Minimum length of the first REMP in minutes.
K	cyc_def_mid_rem_min	Minimum length of the middle REMP in minutes.
L	cyc_def_last_rem_min	Minimum length of the last REMP in minutes.
M	cyc_def_move_end_rem	"Move the end of the REMP to the start of the following NREMP, eliminating the temporal ""gap"" between 2 cycles."
N	cyc_def_sleep_stages	"List of valid stages used to define the sleep cycles:  ""N1, N2, N3, R"" or ""N2, N3, R"""
O	min_sec	Minimum duration of the spindle in sec.
P	max_sec	Maximum duration of the spindle in sec.
Q	sleep_stage_sel	Sleep stages selection to detect spindles in.
R	detect_in_cycle	Flag to detect spindle in sleep cycles only.
S	detect_exclude_remp	Flag to exclude rem period from the spindle detection.
T	spindle_event_name	Spindle event name (specific to the detection algorithm).
U	thresh_abs_sigma_pow_uv2	Threshold (uv2) for the absolute (mean squared) sigma power (log10)
V	thresh_rel_sigma_pow_z	Threshold (z-score) for the relative sigma power (z(log10(PSA:11-16Hz/PSA:4.5-30Hz)))
W	thresh_sigma_cov_z	Threshold (z-score) for the sigma covariance between the broad band (EEGbf) and the sigma (EEGs) signal (z(log10(cov(EEGbf, EEGs))))
X	thresh_sigma_cor_perc	Threshold (percentile) for the sigma correlation between the broad band (EEGbf) and the sigma (EEGs) signal cov(EEGbf, EEGs)/(std(EEGbf)*std(EEGs))
Y	artefact_group_name_list	List of groups and names of the artifact excluded from the spindle detection
Z	chan_label	The label of the channel.
AA	chan_fs	The sampling rate (Hz) of the channel.
AB	sleep_cycle_count	Number of sleep cycles.
AC	sleep_period_min	Total period for detection - Duration (min) of the sleep period.
AD	total_N1_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep period in N1 stage minus the REM periods if excluded.
AE	total_N2_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep period in N2 stage minus the REM periods if excluded.
AF	total_N3_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep period in N3 stage minus the REM periods if excluded.
AG	total_R_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep period in REM stage.
AH	total_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep stage selected minus thoses included in REM periods if remps are excluded.
AI	total_N1_spindle_count	Total - Sleep spindle count in N1 stage.
AJ	total_N2_spindle_count	Total - Sleep spindle count in N2 stage.
AK	total_N3_spindle_count	Total - Sleep spindle count in N3 stage.
AL	total_R_spindle_count	Total - Sleep spindle count in REM stage.
AM	total_spindle_count	Total - Sleep spindle count in all stages.
AN	total_N1_density	Total - Spindle density (count/min) in N1 stage.
AO	total_N2_density	Total - Spindle density (count/min) in N2 stage.
AP	total_N3_density	Total - Spindle density (count/min) in N3 stage.
AQ	total_R_density	Total - Spindle density (count/min) in REM stage.
AR	total_density	Total - Spindle density (count/min)
AS	total_N1_spindle_sec	Total - Average spindle duration (s) in N1 stage.
AT	total_N2_spindle_sec	Total - Average spindle duration (s) in N2 stage.
AU	total_N3_spindle_sec	Total - Average spindle duration (s) in N3 stage.
AV	total_R_spindle_sec	Total - Average spindle duration (s) in REM stage.
AW	total_spindle_sec	Total - Average spindle duration (s)
AX	total_N1_dom_freq_Hz	Total - Spindle dominant frequency (Hz) where spectral energy is maximum in N1 stage.
AY	total_N2_dom_freq_Hz	Total - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 stage.
AZ	total_N3_dom_freq_Hz	Total - Spindle dominant frequency (Hz) where spectral energy is maximum in N3 stage.
BA	total_R_dom_freq_Hz	Total - Spindle dominant frequency (Hz) where spectral energy is maximum in REM stage.
BB	total_dom_freq_Hz	Total - Spindle dominant frequency (Hz) where spectral energy is maximum.
